frame,time_epoch,src_ip,lat,lon,altitude_ft,flight_level,aircraft_id,aircraft_address,adsb_version
103,1763110267.242233781,172.16.1.2,-20.3284192085266,-75.7127094268799,35750,340,CMP475,0x0c20f5,DO-260B
105,1763110267.259577906,172.16.3.2,-7.63878107070923,-79.1687679290771,37325,350.25,AAL1307,0xa515ad,DO-260B
107,1763110267.260280392,172.16.3.2,-7.48954296112061,-79.1877579689026,38250,360,LAN572,0xe8022a,DO-260B
108,1763110267.267109136,172.16.11.2,-9.42365169525146,-78.3872580528259,37200,350,LPE2483,0xe8040c,DO-260B
109,1763110267.269991891,172.16.3.2,-7.2929048538208,-79.8968267440796,,390,AAL933,0xac1076,DO-260B
110,1763110267.270028153,172.16.13.2,-1.83158397674561,-70.4609441757202,38375,360,AVA248,0xad1861,DO-260B
111,1763110267.306395703,172.16.13.2,-1.83158397674561,-70.4609441757202,38375,360,AVA248,0xad1861,DO-260B
112,1763110267.363317584,172.16.11.2,-9.36234712600708,-76.8015789985657,37300,350,DWI6771,0x0c4355,DO-260B
114,1763110267.383151253,172.16.3.2,-5.85766553878784,-79.3932580947876,34050,320,CMP276,0x0c20b5,DO-260B
115,1763110267.383581254,10.30.212.17,-12.2753119468689,-77.9735326766968,36175,340,TPA4090,0xa3ad89,DO-260B
116,1763110267.393745568,172.16.11.2,-7.10978507995605,-78.8006830215454,34075,320,CMP264,0x0c21b6,DO-260B
118,1763110267.396311326,172.16.3.2,-6.82821750640869,-79.2713785171509,34075,320.25,CMP421,0x0c2076,DO-260B
119,1763110267.396345444,172.16.13.2,-2.69862413406372,-72.9308295249939,34075,320,CMP439,0x0c20dd,DO-260B
120,1763110267.408865487,172.16.13.2,-2.69862413406372,-72.9308295249939,34075,320,CMP439,0x0c20dd,DO-260B
121,1763110267.418612523,172.16.3.2,-7.10978507995605,-78.8006830215454,34075,320,CMP264,0x0c21b6,DO-260B
122,1763110267.419039807,10.30.212.17,-11.9068837165833,-77.3887038230896,40325,380,RPB509,0x0c2081,DO-260B
123,1763110267.423660748,10.30.212.17,-11.9068837165833,-77.3887038230896,40325,380,RPB509,0x0c2081,DO-260B
125,1763110267.424094856,10.30.212.17,-15.004985332489,-77.2564172744751,39175,370,UAL847,0xaac8a4,DO-260B
126,1763110267.426600410,10.30.212.17,-15.004985332489,-77.2564172744751,39175,370,UAL847,0xaac8a4,DO-260B
127,1763110267.426639305,172.16.13.2,-5.39752721786499,-76.4681482315063,39400,370,DWI3761,0x0c4354,DO-260B
128,1763110267.434223058,172.16.13.2,-5.39752721786499,-76.4681482315063,39400,370,DWI3761,0x0c4354,DO-260B
129,1763110267.488361262,172.16.3.2,-3.30682039260864,-83.066725730896,,340,AMX029,0xa540e2,DO-260B
132,1763110267.515635776,172.16.1.2,-17.7936244010925,-75.5405759811401,34900,330,AAL907,0xaa57df,DO-260B
133,1763110267.516196444,172.16.11.2,-7.63878107070923,-79.1687679290771,37325,350.25,AAL1307,0xa515ad,DO-260B
134,1763110267.545393588,172.16.11.2,-10.1229357719421,-77.8665232658386,30650,287.75,TAI428,0xad4ebc,DO-260B
136,1763110267.552751902,172.16.11.2,-7.2929048538208,-79.8968267440796,,390,AAL933,0xac1076,DO-260B
137,1763110267.552789415,172.16.13.2,-2.14731216430664,-70.3854775428772,47425,450,PSSFR,0xe49bba,DO-260B
138,1763110267.575884406,172.16.13.2,-2.14731216430664,-70.3854775428772,47425,450,PSSFR,0xe49bba,DO-260B
139,1763110267.595232182,172.16.11.2,-7.48954296112061,-79.1877579689026,38250,360,LAN572,0xe8022a,DO-260B
141,1763110267.611004297,10.30.212.17,-14.498884677887,-77.3574185371399,33925,320,LAE2835,0xa7459d,DO-260B
142,1763110267.741822374,10.30.212.17,-11.0612154006958,-76.9435000419617,27850,261.75,LPE2231,0xe8041b,DO-260B
143,1763110267.743166342,10.30.212.17,-11.9679093360901,-78.0586123466492,41350,390,AAL957,0xaac337,DO-260B
144,1763110267.777035059,172.16.7.2,-5.39752721786499,-76.4681482315063,39400,370,DWI3761,0x0c4354,DO-260B
146,1763110267.793434560,10.30.212.17,-9.42493915557861,-78.3866572380066,37200,350,LPE2483,0xe8040c,DO-260B
148,1763110267.809398554,172.16.3.2,-4.52572345733643,-79.5596194267273,36200,340,CMP118,0x0c20bb,DO-260B
150,1763110267.809892435,172.16.11.2,-4.52572345733643,-79.5596194267273,36200,340,CMP118,0x0c20bb,DO-260B
151,1763110267.817641628,172.16.11.2,-6.82729482650757,-79.2715072631836,34075,320.25,CMP421,0x0c2076,DO-260B
152,1763110267.897995642,10.30.212.17,-10.121648311615,-77.8669095039368,30675,288,TAI428,0xad4ebc,DO-260B
153,1763110267.898377371,172.16.3.2,-1.41236543655396,-79.8600697517395,40450,380,AAL908,0xaaa6dd,DO-260B
154,1763110267.943252254,10.30.212.17,-13.6991572380066,-77.4406313896179,39250,370,UAL819,0xaac136,DO-260B
155,1763110267.950163998,172.16.1.2,-19.8437118530273,-75.8586859703064,32675,310,AAL945,0xaa6914,DO-260B
156,1763110267.975315590,172.16.3.2,-2.89470434188843,-79.768488407135,37175,350,CJT1507,0xc027da,DO-260B
157,1763110267.978265180,172.16.3.2,-2.39100694656372,-81.8671131134033,31775,300,UAL855,0xa89234,DO-260B
158,1763110268.025818771,172.16.11.2,-5.75943231582642,-79.405574798584,39400,370,VOI3918,0x0d0d6d,DO-260B
160,1763110268.032784083,172.16.3.2,-3.53856325149536,-79.6862411499023,34025,320,CMP338,0x0c20d6,DO-260B
161,1763110268.032814808,172.16.13.2,-6.28104686737061,-72.8629374504089,38375,360,AVA240,0xaa57e6,DO-260B
162,1763110268.046192249,172.16.13.2,-6.28104686737061,-72.8629374504089,38375,360,AVA240,0xaa57e6,DO-260B
163,1763110268.057596596,172.16.3.2,-5.75943231582642,-79.405574798584,39400,370,VOI3918,0x0d0d6d,DO-260B
164,1763110268.057668215,172.16.7.2,-9.3614673614502,-76.8013858795166,37300,350,DWI6771,0x0c4355,DO-260B
165,1763110268.098142658,172.16.7.2,-9.3614673614502,-76.8013858795166,37300,350,DWI6771,0x0c4355,DO-260B
166,1763110268.098213665,172.16.7.2,-6.28104686737061,-72.8629374504089,38375,360,AVA240,0xaa57e6,DO-260B
167,1763110268.127606051,172.16.7.2,-6.28104686737061,-72.8629374504089,38375,360,AVA240,0xaa57e6,DO-260B
168,1763110268.127724914,172.16.5.2,-13.5492968559265,-74.8661398887634,31475,297.5,RER9511,0xe840a0,DO-260B
169,1763110268.162235708,172.16.5.2,-13.5492968559265,-74.8661398887634,31475,297.5,RER9511,0xe840a0,DO-260B
